energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
2389.0,46.43,8.93,28.57,3.57,3.6,17.86,0.54356,0.214,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,6,d
2389.0,50.0,8.93,28.57,3.57,3.6,17.86,0.0,0.0,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,4,c
2389.0,46.43,8.93,28.57,3.57,3.6,17.86,1.08966,0.429,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,5,d
2540.0,53.57,7.14,17.86,3.57,7.1,21.43,1.08966,0.429,0.0,0.0,0.143,0.00257,0.571,0.0,0.0,0.0,0.0,0.0,11,d
1004.0,10.67,6.67,30.67,22.67,0.0,2.67,0.254,0.1,0.0,0.033,0.107,0.00048,0.147,0.0016,8.01e-05,12.0,0.0,1.0,43,d
665.0,2.17,1.45,30.43,24.64,0.0,2.9,0.18288,0.072,0.0,0.007,0.116,0.0,0.188,0.0017,0.0,7.0,0.0,1.0,19,c
849.0,9.38,6.25,23.44,23.44,0.0,3.12,0.19812,0.078,0.0,0.039,0.125,0.0,0.188,0.0,0.0001407,6.0,0.0,1.0,17,d
916.0,10.94,6.25,26.56,18.75,3.1,3.12,0.1778,0.07,0.0,0.031,0.062,0.00056,0.234,0.0,9.36e-05,6.0,0.0,1.0,18,c
849.0,9.38,6.25,23.44,21.88,0.0,3.12,0.19812,0.078,0.0,0.039,0.125,0.0,0.141,0.0019,9.36e-05,5.0,0.0,0.0,17,d
916.0,10.94,7.03,28.12,25.0,0.0,3.12,0.1778,0.07,0.0,0.039,0.094,0.0,0.188,0.0019,9.36e-05,7.0,0.0,1.0,16,d
590.0,0.0,0.0,32.94,24.71,0.0,1.18,0.0889,0.035,0.0,0.0,0.071,0.00042,0.076,0.0014,0.0,2.0,0.0,0.0,14,c
707.0,3.39,1.69,32.2,23.73,0.0,3.39,0.17272,0.068,0.0,0.008,0.102,0.00122,0.153,0.0,5.07e-05,2.0,0.0,0.0,15,c
